batch,config,trial,session,model,effort,tier,success,agent_verdict,session_min,task_min,timing_src,requests,max_req_input,tokens_input,tokens_cached,tokens_cache_write,tokens_output,tokens_reasoning,tokens_total_k,cost_std_usd,cost_tier_usd,rollout
twopiles_tools1,two towers,05,20260905_013322_paper_twopiles_tools1_05,gpt-6-astra,high,default,1,unclear,30.3,29.15,trace,142,177737,14373186,14189312,0,16441,4790,14389.6,16.85,16.85,<HOME>/.codex/sessions/2026/09/05/rollout-2026-09-05T01-33-24-01a070b3-778f-7d40-9b54-7db1a8b0d218.jsonl
twopiles_tools1,two towers,06,20260905_022055_paper_twopiles_tools1_06,gpt-6-astra,high,default,1,unclear,25.3,24.35,trace,116,140190,9568187,9421312,0,15979,3156,9584.2,11.689,11.689,<HOME>/.codex/sessions/2026/09/05/rollout-2026-09-05T02-20-57-01a070de-ff2c-7512-9d5d-8640f6c80721.jsonl
twopiles_tools1,two towers,07,20260905_030947_paper_twopiles_tools1_07,gpt-6-astra,high,default,1,success,18.55,17.57,trace,93,110575,5969773,5801728,0,12495,1960,5982.3,8.107,8.107,<HOME>/.codex/sessions/2026/09/05/rollout-2026-09-05T03-09-50-01a0710b-be09-7d71-bb98-1246bc2586ac.jsonl
twopiles_tools1,two towers,08,20260905_034725_paper_twopiles_tools1_08,gpt-6-astra,high,default,1,success,18.82,17.8,trace,98,134611,7785735,7588736,0,9588,1351,7795.3,10.038,10.038,<HOME>/.codex/sessions/2026/09/05/rollout-2026-09-05T03-47-27-01a0712e-30d0-7353-8693-5ac16a295e42.jsonl
twopiles_tools1,two towers,09,20260905_042628_paper_twopiles_tools1_09,gpt-6-astra,high,default,1,success,23.05,21.92,trace,133,109140,9236847,9066368,0,12027,2591,9248.9,11.373,11.373,<HOME>/.codex/sessions/2026/09/05/rollout-2026-09-05T04-26-30-01a07151-f0ec-7fd1-97f0-e5bed0621928.jsonl
twopiles_tools1,two towers,10,20260905_051046_paper_twopiles_tools1_10,gpt-6-astra,high,default,1,unclear,18.05,16.98,trace,82,99260,5106496,5007104,0,11121,2162,5117.6,6.557,6.557,<HOME>/.codex/sessions/2026/09/05/rollout-2026-09-05T05-10-48-01a0717a-7f22-7853-99c2-b97392137604.jsonl
onebigpile_tools1,six block tower,01,20260906_170749_paper_onebigpile_tools1_01,gpt-6-astra,high,default,1,success,47.3,46.41,trace,171,244736,19044495,18524800,0,31395,10943,19075.9,25.291,25.291,<HOME>/.codex/sessions/2026/09/06/rollout-2026-09-06T17-07-51-01a07931-5631-7300-9bf2-9207e706709d.jsonl
onebigpile_tools1,six block tower,02,20260906_175805_paper_onebigpile_tools1_02,gpt-6-astra,high,default,0,fail,36.82,36.82,session,128,202713,13481837,13233664,0,26061,12821,13507.9,17.018,17.018,<HOME>/.codex/sessions/2026/09/06/rollout-2026-09-06T17-58-08-01a0795f-5d5f-7890-99ba-b1ff596df5d4.jsonl
onebigpile_tools1,six block tower,03,20260906_184253_paper_onebigpile_tools1_03,gpt-6-astra,high,default,1,success,21.07,20.12,trace,94,164140,8425558,8245632,0,11542,3700,8437.1,10.622,10.622,<HOME>/.codex/sessions/2026/09/06/rollout-2026-09-06T18-42-56-01a07988-61c4-7492-98be-a5a7c3550b13.jsonl
onebigpile_tools1,six block tower,04,20260906_190445_paper_onebigpile_tools1_04,gpt-6-astra,high,default,1,unclear,18.05,17.27,trace,78,112160,5074183,4962560,0,12315,2611,5086.5,6.695,6.695,<HOME>/.codex/sessions/2026/09/06/rollout-2026-09-06T19-04-47-01a0799c-654c-7491-a4f4-d32e785cac70.jsonl
onebigpile_tools1,six block tower,05,20260906_192439_paper_onebigpile_tools1_05,gpt-6-astra,high,default,1,success,56.07,54.97,trace,193,242552,19820976,19188992,0,25410,8397,19846.4,26.779,26.779,<HOME>/.codex/sessions/2026/09/06/rollout-2026-09-06T19-24-41-01a079ae-9d7c-7eb2-bcdb-a3d1f178343b.jsonl
dice_tools1,die flipping,01,20260906_205226_paper_dice_tools1_01,gpt-6-astra,high,default,1,success,37.57,36.36,trace,112,162264,10142691,9960832,0,15771,4172,10158.5,12.568,12.568,<HOME>/.codex/sessions/2026/09/06/rollout-2026-09-06T20-52-28-01a079fe-fbf0-77d2-8f5f-3b4aa9184b10.jsonl
dice_tools1,die flipping,02,20260907_115609_paper_dice_tools1_02,gpt-6-astra,high,default,1,success,56.82,56.01,trace,184,243678,23572616,23166336,0,30586,11423,23603.2,28.758,28.758,<HOME>/.codex/sessions/2026/09/07/rollout-2026-09-07T11-56-12-01a07d3a-5d6b-74b2-bfe3-077398e597f3.jsonl
