batch,trial,model,verdict,source,counts_toward_paper
twopairs_full_high_56sol,03,gpt-5.6-sol,success,paper_code,true
twopairs_full_high_56sol,04,gpt-5.6-sol,success,paper_code,true
twopairs_full_high_56sol,05,gpt-5.6-sol,success,paper_code,true
twopairs_full_high_56terra,01,gpt-5.6-terra,fail,paper_code,true
twopairs_full_high_56terra,02,gpt-5.6-terra,fail,paper_code,true
twopairs_full_high_56terra,03,gpt-5.6-terra,fail,paper_code,true
twopairs_full_high_56terra,04,gpt-5.6-terra,success,paper_code,true
twopairs_full_high_56terra,05,gpt-5.6-terra,fail,paper_code,true
twopairs_full_high_6astra,03,gpt-6-astra,success,paper_code,true
twopairs_full_high_6astra,05,gpt-6-astra,success,paper_code,true
twopairs_full_high_6astra_right,01,gpt-6-astra,success,paper_code,true
twopairs_full_high_6astra_right,02,gpt-6-astra,success,paper_code,true
twopairs_full_high_6astra_right,04,gpt-6-astra,success,paper_code,true
twopairs_full_high_cfable51_right,01,claude-fable-5-1,success,claude_review,true
twopairs_full_high_cfable51_right,02,claude-fable-5-1,success,claude_review,true
twopairs_full_high_cfable51_right,03,claude-fable-5-1,success,claude_review,true
twopairs_full_high_cfable51_right,04,claude-fable-5-1,fail,claude_review,true
twopairs_full_high_ckpt_6astra,01,gpt-6-astra,success,astra_self,true
twopairs_full_high_ckpt_6astra,02,gpt-6-astra,success,astra_self,true
twopairs_full_high_ckpt_6astra,03,gpt-6-astra,success,astra_self,true
twopairs_full_high_ckpt_6astra,04,gpt-6-astra,success,astra_self,true
twopairs_full_high_ckpt_6astra,05,gpt-6-astra,success,astra_self,true
twopairs_full_high_ckptro_56terra,01,gpt-5.6-terra,fail,claude_review,true
twopairs_full_high_ckptro_56terra,02,gpt-5.6-terra,success,claude_review,true
twopairs_full_high_ckptro_56terra,03,gpt-5.6-terra,success,claude_review,true
twopairs_full_high_ckptro_56terra,04,gpt-5.6-terra,fail,claude_review,true
twopairs_full_high_copus5,01,claude-opus-5,success,paper_code,true
twopairs_full_high_copus5,03,claude-opus-5,success,paper_code,true
twopairs_full_high_copus5,05,claude-opus-5,success,paper_code,true
twopairs_full_high_copus5_right,02,claude-opus-5,success,paper_code,true
twopairs_full_high_copus5_right,04,claude-opus-5,success,paper_code,true
twopairs_full_high_kn_6astra,01,gpt-6-astra,success,astra_self,true
twopairs_full_high_kn_6astra,02,gpt-6-astra,success,astra_self,true
twopairs_full_high_kn_6astra,03,gpt-6-astra,success,astra_self,true
twopairs_full_high_kn_6astra,04,gpt-6-astra,success,astra_self,true
twopairs_full_high_kn_6astra,05,gpt-6-astra,success,astra_self,true
twopairs_full_high_mx_6astra,01,gpt-6-astra,success,astra_self,true
twopairs_full_high_mx_6astra,02,gpt-6-astra,success,astra_self,true
twopairs_full_high_mx_6astra,03,gpt-6-astra,success,astra_self,true
twopairs_full_high_mx_6astra,04,gpt-6-astra,success,astra_self,true
twopairs_full_high_mx_6astra,05,gpt-6-astra,success,astra_self,true
twopairs_full_high_mxro_56terra,01,gpt-5.6-terra,success,results_csv,true
twopairs_full_high_mxro_56terra,01x,gpt-5.6-terra,infra,results_csv,false
twopairs_full_high_mxro_56terra,02,gpt-5.6-terra,success,results_csv,true
twopairs_full_high_mxro_56terra,03,gpt-5.6-terra,fail,results_csv,true
twopairs_full_high_mxro_56terra,03x,gpt-5.6-terra,fail,results_csv,true
twopairs_full_high_mxro_56terra,04,gpt-5.6-terra,success,results_csv,true
twopairs_full_high_mxro_56terra,05,gpt-5.6-terra,success,results_csv,true
twopairs_full_low_6astra,01,gpt-6-astra,success,paper_code,true
twopairs_full_low_6astra,03,gpt-6-astra,success,paper_code,true
twopairs_full_low_6astra,04,gpt-6-astra,success,paper_code,true
twopairs_full_low_6astra,06,gpt-6-astra,success,astra_self,true
twopairs_full_low_6astra,07,gpt-6-astra,success,astra_self,true
twopairs_full_low_6astra,08,gpt-6-astra,success,astra_self,true
twopairs_full_low_6astra,09,gpt-6-astra,success,astra_self,true
twopairs_full_low_6astra,10,gpt-6-astra,success,astra_self,true
twopairs_full_low_6astra_right,02,gpt-6-astra,success,paper_code,true
twopairs_full_low_6astra_right,05,gpt-6-astra,success,paper_code,true
twopairs_full_medium_6astra,01,gpt-6-astra,success,paper_code,true
twopairs_full_medium_6astra,03,gpt-6-astra,success,paper_code,true
twopairs_full_medium_6astra,04,gpt-6-astra,success,paper_code,true
twopairs_full_medium_6astra,05,gpt-6-astra,success,paper_code,true
twopairs_full_medium_6astra_right,02,gpt-6-astra,success,paper_code,true
twopairs_full_medium_6astra_right,06,gpt-6-astra,success,astra_self,true
twopairs_full_medium_6astra_right,07,gpt-6-astra,success,astra_self,true
twopairs_full_medium_6astra_right,08,gpt-6-astra,success,astra_self,true
twopairsreset_full_medium_6astra,01,gpt-6-astra,success,astra_self,false
twopairsreset_full_medium_6astra,02,gpt-6-astra,success,astra_self,false
twopairsreset_full_medium_6astra,03,gpt-6-astra,success,astra_self,false
twopairsreset_full_medium_6astra,04,gpt-6-astra,success,astra_self,false
twopairsreset_full_medium_6astra,05,gpt-6-astra,success,astra_self,false
twopairsreset_full_medium_6astra,06,gpt-6-astra,success,astra_self,false
twopairsreset_full_medium_6astra,07,gpt-6-astra,success,astra_self,false
twopairsreset_full_medium_6astra,09,gpt-6-astra,success,astra_self,false
twopairsreset_full_medium_6astra,10,gpt-6-astra,success,astra_self,false
twopairsreset_full_medium_6astra,11,gpt-6-astra,success,astra_self,false
twopairsreset_full_medium_6astra,12,gpt-6-astra,success,astra_self,false
twopairsreset_full_medium_6astra,13,gpt-6-astra,success,astra_self,false
twopiles_tools1,01,gpt-6-astra,success,paper_code,true
twopiles_tools1,02,gpt-6-astra,success,paper_code,true
twopiles_tools1,03,gpt-6-astra,success,paper_code,true
twopiles_tools1,04,gpt-6-astra,success,paper_code,true
twopiles_tools1,05,gpt-6-astra,success,paper_code,true
twopiles_tools1,06,gpt-6-astra,success,paper_code,true
twopiles_tools1,07,gpt-6-astra,success,paper_code,true
twopiles_tools1,08,gpt-6-astra,success,paper_code,true
twopiles_tools1,09,gpt-6-astra,success,paper_code,true
twopiles_tools1,10,gpt-6-astra,success,paper_code,true
